id,customer_id,order_date
136,96,2023-05-30
137,13,2024-03-28
138,16,2024-10-31
139,55,2024-11-15
140,13,2023-09-06
141,38,2023-08-10
142,77,2023-07-18
143,83,2023-06-14
144,77,2024-04-07
145,56,2023-11-19
146,3,2023-02-14
147,93,2023-02-09
148,46,2024-12-11
149,56,2024-11-06
150,72,2024-02-23
151,71,2023-07-31
152,60,2023-01-24
153,27,2024-09-23
154,40,2024-08-05
155,97,2024-04-01
156,60,2024-08-07
157,38,2023-05-26
158,57,2024-10-18
159,14,2023-02-19
160,11,2023-06-24
161,39,2024-01-19
162,72,2023-05-30
163,82,2023-07-05
164,92,2024-05-08
165,88,2024-06-24
166,57,2023-06-30
167,97,2024-08-15
168,91,2023-06-30
169,8,2023-09-05
170,77,2024-05-13
171,26,2024-08-13
172,68,2023-05-17
173,40,2024-05-01
174,33,2023-06-02
175,19,2023-12-14
176,65,2023-03-24
177,65,2024-11-08
178,68,2023-06-11
179,90,2023-12-12
180,12,2023-10-17
181,17,2023-08-25
182,80,2023-03-05
183,10,2024-01-26
184,51,2023-06-24
185,20,2024-12-27
186,93,2024-12-03
187,48,2023-06-28
188,58,2023-05-15
189,45,2023-06-09
190,63,2024-07-31
191,55,2024-06-21
192,69,2023-07-02
193,83,2023-12-17
194,89,2023-10-22
195,64,2024-08-02
196,37,2023-10-22
197,18,2024-03-09
198,46,2023-10-01
199,61,2024-06-06
200,60,2024-01-14
201,71,2023-11-05
202,51,2024-01-04
203,74,2024-11-21
204,64,2024-07-09
205,28,2024-03-26
206,28,2024-12-22
207,33,2023-02-24
208,55,2024-05-29
209,90,2024-07-17
210,53,2023-12-04
211,74,2023-08-23
212,86,2023-05-06
213,23,2024-07-02
214,36,2023-10-27
215,1,2024-07-14
216,40,2023-09-22
217,22,2024-08-24
218,15,2024-09-09
219,99,2024-01-20
220,62,2023-11-23
221,28,2024-03-17
222,3,2023-12-20
223,89,2023-10-21
224,47,2024-10-02
225,66,2024-11-08
226,14,2024-05-14
227,71,2024-11-15
228,59,2024-07-23
229,86,2023-10-23
230,67,2023-09-21
231,46,2024-04-01
232,89,2024-12-04
233,87,2024-05-09
234,83,2023-08-11
235,88,2024-11-09
236,91,2024-06-12
237,94,2024-07-30
238,4,2024-05-03
239,60,2023-12-01
240,41,2024-08-31
241,78,2023-01-04
242,11,2024-02-22
243,18,2023-02-21
244,95,2023-01-25
245,76,2024-08-06
246,49,2023-11-24
247,37,2023-12-24
248,85,2024-08-26
249,70,2023-01-04
250,41,2024-04-27
251,95,2023-12-05
252,82,2024-08-05
253,5,2023-08-10
254,70,2023-03-07
255,21,2024-03-10
256,96,2024-12-10
257,100,2023-08-30
258,26,2023-11-18
259,20,2024-07-22
260,11,2023-01-08
261,78,2023-02-04
262,68,2023-11-30
263,98,2023-04-18
264,47,2024-04-26
265,73,2024-02-25
266,1,2024-07-02
267,5,2023-06-26
268,99,2023-02-18
269,9,2023-12-01
270,71,2023-10-13
271,20,2023-02-28
272,70,2024-05-08
273,47,2023-12-28
274,56,2024-10-21
275,13,2024-05-15
276,65,2024-11-28
277,16,2023-09-15
278,19,2024-12-25
279,49,2024-10-03
280,71,2024-01-01
281,68,2023-08-06
282,46,2024-09-18
283,25,2024-09-29
284,67,2024-11-23
285,55,2023-12-04
286,90,2024-08-15
287,38,2023-02-19
288,57,2024-11-08
289,46,2023-04-21
290,68,2024-04-24
291,61,2023-12-16
292,49,2024-10-02
293,88,2023-01-02
294,58,2023-03-05
295,10,2024-01-27
296,92,2024-07-22
297,51,2023-06-15
298,2,2023-07-26
299,7,2023-01-02
300,44,2023-04-21
301,73,2024-07-28
302,97,2023-02-20
303,14,2024-11-10
304,94,2024-07-08
305,33,2024-06-17
306,39,2023-02-20
307,60,2023-11-11
308,65,2023-08-07
309,43,2023-02-28
310,55,2023-08-18
311,48,2024-01-27
312,81,2024-02-08
313,67,2024-05-06
314,70,2023-09-25
315,84,2024-12-12
316,58,2023-05-31
317,96,2023-11-15
318,36,2023-07-14
319,58,2024-06-25
320,84,2024-04-28
321,16,2024-03-04
322,68,2024-08-28
323,28,2023-11-22
324,66,2024-08-26
325,20,2024-04-03
326,76,2024-12-27
327,39,2024-10-19
328,45,2023-05-04
329,85,2024-08-28
330,81,2023-07-23
331,73,2023-03-07
332,11,2024-11-22
333,16,2024-08-05
334,64,2023-11-06
335,64,2024-01-31
336,78,2024-11-28
337,99,2024-02-06
338,32,2023-01-22
339,44,2023-08-12
340,75,2023-03-23
341,57,2024-07-17
342,42,2023-01-09
343,2,2023-07-16
344,6,2023-02-11
345,9,2023-06-26
346,53,2024-02-14
347,92,2023-06-02
348,69,2023-03-03
349,59,2023-08-06
350,24,2023-07-12
351,88,2024-01-08
352,30,2024-10-10
353,47,2023-01-11
354,84,2023-01-19
355,53,2023-05-01
356,96,2024-12-29
357,45,2023-10-14
358,41,2023-06-13
359,26,2023-08-24
360,60,2024-07-19
361,64,2023-09-01
362,21,2023-05-13
363,47,2024-03-12
364,66,2023-07-02
365,8,2023-04-12
366,58,2024-06-24
367,9,2024-07-04
368,30,2023-01-20
369,68,2024-08-26
370,67,2024-02-14
371,52,2024-02-01
372,16,2024-05-29
373,40,2023-07-31
374,35,2024-01-13
375,13,2024-03-10
376,16,2024-09-05
377,50,2023-08-10
378,81,2024-06-01
379,9,2023-10-22
380,81,2024-03-24
381,1,2023-10-23
382,10,2024-07-31
383,46,2023-09-27
384,84,2023-05-30
385,50,2023-03-22
386,76,2024-10-31
387,34,2023-10-25
388,34,2023-05-03
389,5,2023-01-27
390,77,2024-01-02
391,14,2023-07-19
392,85,2023-06-17
393,54,2023-02-14
394,77,2023-03-18
395,47,2023-03-06
396,25,2023-04-24
397,3,2024-05-19
398,56,2023-03-09
399,15,2024-12-27
400,48,2024-11-18
401,77,2024-05-18
402,39,2023-02-23
403,77,2023-04-01
404,60,2023-11-06
405,88,2024-09-27
406,49,2023-06-18
407,52,2023-08-14
408,37,2024-05-22
409,33,2023-03-30
410,55,2023-09-24
411,35,2024-02-04
412,67,2024-11-05
413,41,2024-12-14
414,57,2023-02-01
415,89,2023-02-01
416,51,2023-04-20
417,86,2024-04-20
418,80,2024-10-04
419,73,2023-11-26
420,52,2024-09-30
421,93,2024-10-21
422,79,2023-08-06
423,65,2023-04-28
424,26,2023-12-16
425,68,2024-10-19
426,81,2024-01-22
427,84,2023-03-07
428,91,2023-05-12
429,69,2023-02-27
430,38,2023-08-23
431,74,2024-01-10
432,90,2023-02-11
433,62,2024-01-15
434,17,2023-03-30
435,19,2023-07-18
436,61,2024-10-02
437,26,2023-02-12
438,30,2023-02-07
439,29,2024-04-04
440,91,2023-06-04
441,5,2024-03-05
442,13,2023-11-05
443,15,2023-04-24
444,47,2024-07-31
445,12,2023-12-22
446,44,2023-10-09
447,56,2023-04-05
448,33,2024-06-18
449,16,2023-08-30
450,72,2023-09-14
451,91,2024-05-31
452,16,2024-12-27
453,59,2024-01-10
454,44,2023-12-17
455,22,2023-07-10
456,88,2023-01-21
457,33,2023-02-17
458,71,2023-06-18
459,73,2023-12-11
460,58,2024-02-26
461,86,2023-07-28
462,54,2023-05-08
463,7,2023-10-30
464,1,2023-12-08
465,99,2023-06-28
466,56,2024-05-13
467,40,2023-04-16
468,18,2024-09-02
469,92,2024-11-20
470,52,2023-09-15
471,4,2023-02-25
472,21,2024-01-23
473,39,2024-08-06
474,53,2024-08-10
475,59,2024-11-23
476,47,2023-06-12
477,12,2024-11-13
478,51,2024-05-19
479,56,2024-06-05
480,31,2023-03-20
481,30,2024-10-06
482,50,2024-06-29
483,22,2023-10-12
484,70,2023-07-06
485,45,2024-06-29
486,55,2023-01-13
487,95,2023-03-31
488,72,2023-10-25
489,71,2024-10-03
490,48,2023-10-06
491,100,2024-10-16
492,88,2024-10-29
493,58,2024-09-18
494,53,2023-12-27
495,92,2023-03-12
496,69,2023-01-03
497,49,2024-05-17
498,81,2024-10-23
499,52,2023-03-05
500,18,2024-06-13
